search_term,store_uuid,latitude,longitude,merchant_name
truly,6165e8a7-e10a-4249-b949-d9aeb69d7d66,40.4374093,-79.9821459,Uber Eats - Uptown Kitchen
truly,19360e4f-3801-495a-a972-1839249d3ada,40.454536,-79.9791321,Uber Eats - Layali Restaurant
truly,cdaa1c8a-a617-4245-a8c8-d84a58bc50d1,37.7918469,-90.4359467,Uber Eats - Applebee's (S-farmington)
truly,2acefb46-51f0-4807-8ffd-60534ede3f38,40.4546936,-79.9465448,Uber Eats - Mia Pizza- Pittsburgh
truly,9f0ca184-3ef8-45d6-b58d-02f55ef6e39e,40.4434446,-79.9955708,Uber Eats - Pizza Parma (Downtown)
truly,05de593a-d2f8-4eb9-83dd-cf9bb46f04c4,40.4690796,-79.9622687,Uber Eats - Wendy's (4001 Butler Street)
truly,2918716f-aecb-4926-bd7b-1548c7c67650,40.4388748,-80.0038643,Uber Eats - Genoa Pizza Pitt
truly,0af38262-8768-4c0f-9bb5-23ffc6cd7af9,40.5265425,-80.2494443,Uber Eats - The Hangar
truly,d0b76790-4a9d-4c39-98f6-ad2d45d35912,37.793082,-90.437729,Uber Eats - Jack in the Box (795 Maple Valley Dr)
truly,8f63ff05-5cd5-51dd-929e-70d1764732c6,37.8562,-90.52674,Uber Eats - Big Lots (Leadington)
truly,29ad891e-9a7e-59ee-87fe-7c39699790fa,40.4844748,-80.0364271,Uber Eats - Pittsburgh Fish and Chicken
truly,38354d1f-4343-4be0-8f55-ff690f0d32a0,40.3945423,-80.035169,Uber Eats - Bambino’s Pizzeria 
truly,fecb7b25-ce1e-497a-8719-d81ac37a5337,37.7900267,-90.4327454,Uber Eats - KFC (627 WalMart Drive)
truly,796465f0-d022-4f99-8311-77eeb6f53bc0,40.4372185,-79.9526673,Uber Eats - Frenchi's Deli & Market
truly,8bce8348-d93d-4a4b-bdb2-0c89716be5bb,40.34344,-79.969014,Uber Eats - Old Mexico (Clairton Blvd)
truly,e9aa45a1-c996-4082-926f-fbde332e1015,40.4519237,-79.9521965,Uber Eats - Little Corner Grill House
truly,b9395c09-e4f9-5c62-91d6-e519da63e8d0,37.7912,-90.43463,Uber Eats - Qdoba Mexican Eats (708 W Karsch)
truly,e0055b55-2c2f-4996-9570-4932a54e8a55,40.4564232,-79.9366374,Uber Eats - Pizza Palermo - Shadyside
truly,cfa7c4f1-7e29-4bce-8017-df828dba55b1,40.461297,-79.9851461,Uber Eats - Frank's Pizza & Chicken-Troy Hill
truly,c66c42e9-2849-5985-8c00-4b8fce48fcea,40.4379012,-79.9231035,Uber Eats - Rite Aid (1700 Murray Avenue)
truly,603a6f0e-4f73-50db-8850-5714f3a115bd,40.449964,-79.8868283,Uber Eats - Alex’s Pit Stop
truly,fcf803ae-5140-5ed3-b855-c3afd903958c,40.42858,-79.98593,Uber Eats - Layne's Chicken Fingers - Carson St
truly,28412bdf-46d2-4cd8-a9ca-072ebd7fcf06,40.4782645,-79.9562097,Uber Eats - Sunoco A Plus Mini Mart
truly,e56a0e2e-ff38-565e-9132-1a31de4d0c72,40.408943,-79.8980782,Uber Eats - Rally's (906 E. 8th Ave.)
truly,8a2fed3b-51cd-50be-96aa-31143bdbaa88,37.78854,-90.44024,Uber Eats - McAlister's Deli (1290 Maple Street)
truly,e5ce2d80-5485-5c7f-b86f-1df3a9f933c1,40.439975,-79.95609,Uber Eats - Smile Thai & Sushi
truly,5db96e5f-f1c8-5e33-b1dc-9f4ca0ce0826,40.4265356,-79.9660196,Uber Eats - Papa John's (2763 East Carson St)
truly,449eafba-1f33-5631-9b21-c14559077bf9,40.4369762,-80.0005269,Uber Eats - Caravan Halal Restaurant
truly,da5b69c7-0b8a-5995-b3d8-b2d7312d11b1,40.4402344,-80.0023433,Uber Eats - Whiskey B's
truly,6ac1acb9-0685-5e8b-b9c8-120752d1fdd4,40.45540442103401,-79.95305315514516,Uber Eats - The Hungry Cowgirl
truly,9ef2c002-8a68-4e46-9628-401d04cc4447,37.78936,-90.42993,Uber Eats - Panera (685 W Karsch Blvd )
truly,8cae2e08-c862-4cf3-b657-78cb7a5c36e1,40.4370044,-79.95495,Uber Eats - Tallgrass Burger
truly,a18d3e67-543d-58d9-b0f6-a15b61e0a4d0,40.4511783,-80.0190283,Uber Eats - The Ice Cream Shop (1001 WESTERN AVE)
