search_terms,additional_data,merchant_name
"[""truly""]","{""latitude"": ""40.4418204"", ""store_id"": ""407eff82-f7a7-500e-abd6-e058357c58a6"", ""longitude"": ""-79.8792717""}",Uber Eats - N G Fish and Chicken
"[""truly""]","{""latitude"": ""40.4287423"", ""store_id"": ""2967d8d3-748d-4ca5-b1f6-3165aa1bf0ab"", ""longitude"": ""-79.980874""}",Uber Eats - Insomnia Cookies (1734 E. Carson Street)
"[""truly""]","{""latitude"": ""37.78805"", ""store_id"": ""da63696e-1b40-5eb9-b29a-c8b77ca83247"", ""longitude"": ""-90.42073""}",Uber Eats - Little Caesars (17 W. Karsch Blvd.)
"[""truly""]","{""latitude"": ""37.79425"", ""store_id"": ""a82554bb-8912-5252-a40a-13288fdb0e36"", ""longitude"": ""-90.43991""}",Uber Eats - GNC (Beishir Valley Business C)
"[""truly""]","{""latitude"": ""40.3451846"", ""store_id"": ""be4a778c-d0da-5ef4-ae81-abefa21b13ec"", ""longitude"": ""-79.9395012""}",Uber Eats - REBEL Convenience Stores (6999 Clairton Road)
"[""truly""]","{""latitude"": ""40.4102439"", ""store_id"": ""607fdd6a-2a19-429a-9904-1eaaa888d31b"", ""longitude"": ""-79.9902277""}",Uber Eats - Vocelli Pizza (617 Brownsville Road)
"[""truly""]","{""latitude"": ""36.7249865"", ""store_id"": ""d7c4939a-c2a1-467d-8685-d107404d2efd"", ""longitude"": ""-76.6360044""}",Uber Eats - Arby's (1516 HOLLAND RD)
"[""truly""]","{""latitude"": ""40.4362165"", ""store_id"": ""8cf15241-15d9-4dfe-81fc-f52f225f5ff0"", ""longitude"": ""-79.9579788""}",Uber Eats - Panera (3401 Boulevard of the Allies )
"[""truly""]","{""latitude"": ""40.4498675"", ""store_id"": ""76b3a271-03c3-473a-b8b3-9ffbedc30803"", ""longitude"": ""-80.0186524""}",Uber Eats - Taco Bell (705 Allegheny Avenue)
"[""truly""]","{""latitude"": ""37.78846"", ""store_id"": ""49e76ee7-943c-5be2-a972-dd794a1d10bc"", ""longitude"": ""-90.43124""}",Uber Eats - Imo's Pizza (Farmington)
"[""truly""]","{""latitude"": ""40.4374093"", ""store_id"": ""6165e8a7-e10a-4249-b949-d9aeb69d7d66"", ""longitude"": ""-79.9821459""}",Uber Eats - Uptown Kitchen
"[""truly""]","{""latitude"": ""40.454536"", ""store_id"": ""19360e4f-3801-495a-a972-1839249d3ada"", ""longitude"": ""-79.9791321""}",Uber Eats - Layali Restaurant
"[""truly""]","{""latitude"": ""37.7918469"", ""store_id"": ""cdaa1c8a-a617-4245-a8c8-d84a58bc50d1"", ""longitude"": ""-90.4359467""}",Uber Eats - Applebee's (S-farmington)
"[""truly""]","{""latitude"": ""40.4546936"", ""store_id"": ""2acefb46-51f0-4807-8ffd-60534ede3f38"", ""longitude"": ""-79.9465448""}",Uber Eats - Mia Pizza- Pittsburgh
"[""truly""]","{""latitude"": ""40.4434446"", ""store_id"": ""9f0ca184-3ef8-45d6-b58d-02f55ef6e39e"", ""longitude"": ""-79.9955708""}",Uber Eats - Pizza Parma (Downtown)
"[""truly""]","{""latitude"": ""40.4690796"", ""store_id"": ""05de593a-d2f8-4eb9-83dd-cf9bb46f04c4"", ""longitude"": ""-79.9622687""}",Uber Eats - Wendy's (4001 Butler Street)
"[""truly""]","{""latitude"": ""40.4388748"", ""store_id"": ""2918716f-aecb-4926-bd7b-1548c7c67650"", ""longitude"": ""-80.0038643""}",Uber Eats - Genoa Pizza Pitt
"[""truly""]","{""latitude"": ""40.5265425"", ""store_id"": ""0af38262-8768-4c0f-9bb5-23ffc6cd7af9"", ""longitude"": ""-80.2494443""}",Uber Eats - The Hangar
"[""truly""]","{""latitude"": ""37.793082"", ""store_id"": ""d0b76790-4a9d-4c39-98f6-ad2d45d35912"", ""longitude"": ""-90.437729""}",Uber Eats - Jack in the Box (795 Maple Valley Dr)
"[""truly""]","{""latitude"": ""37.8562"", ""store_id"": ""8f63ff05-5cd5-51dd-929e-70d1764732c6"", ""longitude"": ""-90.52674""}",Uber Eats - Big Lots (Leadington)
"[""truly""]","{""latitude"": ""40.4844748"", ""store_id"": ""29ad891e-9a7e-59ee-87fe-7c39699790fa"", ""longitude"": ""-80.0364271""}",Uber Eats - Pittsburgh Fish and Chicken
"[""truly""]","{""latitude"": ""40.3945423"", ""store_id"": ""38354d1f-4343-4be0-8f55-ff690f0d32a0"", ""longitude"": ""-80.035169""}",Uber Eats - Bambino’s Pizzeria 
"[""truly""]","{""latitude"": ""37.7900267"", ""store_id"": ""fecb7b25-ce1e-497a-8719-d81ac37a5337"", ""longitude"": ""-90.4327454""}",Uber Eats - KFC (627 WalMart Drive)
"[""truly""]","{""latitude"": ""40.4372185"", ""store_id"": ""796465f0-d022-4f99-8311-77eeb6f53bc0"", ""longitude"": ""-79.9526673""}",Uber Eats - Frenchi's Deli & Market
"[""truly""]","{""latitude"": ""40.34344"", ""store_id"": ""8bce8348-d93d-4a4b-bdb2-0c89716be5bb"", ""longitude"": ""-79.969014""}",Uber Eats - Old Mexico (Clairton Blvd)
"[""truly""]","{""latitude"": ""40.4519237"", ""store_id"": ""e9aa45a1-c996-4082-926f-fbde332e1015"", ""longitude"": ""-79.9521965""}",Uber Eats - Little Corner Grill House
"[""truly""]","{""latitude"": ""37.7912"", ""store_id"": ""b9395c09-e4f9-5c62-91d6-e519da63e8d0"", ""longitude"": ""-90.43463""}",Uber Eats - Qdoba Mexican Eats (708 W Karsch)
"[""truly""]","{""latitude"": ""40.4564232"", ""store_id"": ""e0055b55-2c2f-4996-9570-4932a54e8a55"", ""longitude"": ""-79.9366374""}",Uber Eats - Pizza Palermo - Shadyside
"[""truly""]","{""latitude"": ""40.461297"", ""store_id"": ""cfa7c4f1-7e29-4bce-8017-df828dba55b1"", ""longitude"": ""-79.9851461""}",Uber Eats - Frank's Pizza & Chicken-Troy Hill
"[""truly""]","{""latitude"": ""40.4379012"", ""store_id"": ""c66c42e9-2849-5985-8c00-4b8fce48fcea"", ""longitude"": ""-79.9231035""}",Uber Eats - Rite Aid (1700 Murray Avenue)
"[""truly""]","{""latitude"": ""40.449964"", ""store_id"": ""603a6f0e-4f73-50db-8850-5714f3a115bd"", ""longitude"": ""-79.8868283""}",Uber Eats - Alex’s Pit Stop
"[""truly""]","{""latitude"": ""40.42858"", ""store_id"": ""fcf803ae-5140-5ed3-b855-c3afd903958c"", ""longitude"": ""-79.98593""}",Uber Eats - Layne's Chicken Fingers - Carson St
"[""truly""]","{""latitude"": ""40.4782645"", ""store_id"": ""28412bdf-46d2-4cd8-a9ca-072ebd7fcf06"", ""longitude"": ""-79.9562097""}",Uber Eats - Sunoco A Plus Mini Mart
"[""truly""]","{""latitude"": ""40.408943"", ""store_id"": ""e56a0e2e-ff38-565e-9132-1a31de4d0c72"", ""longitude"": ""-79.8980782""}",Uber Eats - Rally's (906 E. 8th Ave.)
"[""truly""]","{""latitude"": ""37.78854"", ""store_id"": ""8a2fed3b-51cd-50be-96aa-31143bdbaa88"", ""longitude"": ""-90.44024""}",Uber Eats - McAlister's Deli (1290 Maple Street)
"[""truly""]","{""latitude"": ""40.439975"", ""store_id"": ""e5ce2d80-5485-5c7f-b86f-1df3a9f933c1"", ""longitude"": ""-79.95609""}",Uber Eats - Smile Thai & Sushi
"[""truly""]","{""latitude"": ""40.4265356"", ""store_id"": ""5db96e5f-f1c8-5e33-b1dc-9f4ca0ce0826"", ""longitude"": ""-79.9660196""}",Uber Eats - Papa John's (2763 East Carson St)
"[""truly""]","{""latitude"": ""40.4369762"", ""store_id"": ""449eafba-1f33-5631-9b21-c14559077bf9"", ""longitude"": ""-80.0005269""}",Uber Eats - Caravan Halal Restaurant
"[""truly""]","{""latitude"": ""40.4402344"", ""store_id"": ""da5b69c7-0b8a-5995-b3d8-b2d7312d11b1"", ""longitude"": ""-80.0023433""}",Uber Eats - Whiskey B's
"[""truly""]","{""latitude"": ""40.45540442103401"", ""store_id"": ""6ac1acb9-0685-5e8b-b9c8-120752d1fdd4"", ""longitude"": ""-79.95305315514516""}",Uber Eats - The Hungry Cowgirl
